NFL DRAFT 2020-2024 DEFENSIVE END SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,SOLO,ASST,TKLS,T/G,TFL,GP,SACKS,YDL,S/G,HURS
,2,1,21,21,Kwity Paye,Colts,Michigan,11,28,37,65,5.9,12,11,4.5,-30,0.4, 
,3,1,28,28,Payton Turner,Saints,Houston,,,,,,,,,,,
,4,1,30,30,Gregory Rousseau,Bills,Miami (FL),10,58,17,75,7.5,10,10,8,42,0.8,7
,5,2,22,54,Dayo Odeyingbo,Colts,Vanderbilt,,,,,,,,,,,
,6,2,29,61,Carlos Basham,Bills,Wake Forest,,,,,,,,,,,
,7,3,5,69,Joseph Ossai,Bengals,Texas,8,37,14,51,6.4,13,8,6, ,0.8,4
,8,3,15,79,Malcolm Koonce,Raiders,Buffalo,11,28,30,58,5.3,6,11,9,59,0.8,4
,9,3,20,84,Chauncey Golston,Cowboys,Iowa,,,,,,,,,,,
,10,3,26,90,Patrick Jones,Vikings,Pittsburgh,12,32,51,83,6.9,12.5,12,8.5,77,0.7, 
,11,3,32,96,Ronnie Perkins,Patriots,Oklahoma,,,,,,,,,,,
,12,4,6,111,Cameron Sample,Bengals,Tulane,10,21,29,50,5,8,10,4,34,0.4, 
,13,4,11,116,Elerson Smith,Giants,Northern Iowa,,,,,,,,,,,
,14,4,16,121,Jordan Smith,Jaguars,Alabama-Birmingham,10,86,18,104,10.4,26,10,3,24,0.3,10
,15,4,29,134,Janarius Robinson,Vikings,Florida State,10,31,16,47,4.7,9,10,2,-16,0.2,4
,16,4,30,135,Rashad Weaver,Titans,Pittsburgh,,,,65,,,,7,,,
,17,4,39,144,Joshua Kaindoh,Chiefs,Florida State,8,25,16,41,5.1,10,8,7.5,-24,0.9,7
,18,5,12,156,Isaiahh Loudermilk,Steelers,Wisconsin,11,54,43,97,8.8, ,11,2,20,0.2, 
,19,5,27,171,Daelin Hayes,Ravens,Notre Dame,,,,,,,,,,,
,20,5,30,174,Earnest Brown,Rams,Northwestern,15,71,17,80,5.3,36,15,10.5,-33,0.7,24
,21,5,38,182,Adetokunbo Ogundeji,Falcons,Notre Dame,,,,68,,,,9,,,
,22,6,7,191,Tarron Jackson,Eagles,Coastal Carolina,,,,79,,11,,5,,,
,23,6,32,216,Quincy Roche,Steelers,Miami (FL),,,,,,,,,,,
,24,7,7,235,Wyatt Hubert,Bengals,Kansas State,7,63,,63,9,17.5,7,8,63,1.1, 
,25,7,11,239,Jonathon Cooper,Broncos,Ohio State,10,52,13,65,6.5,18,10,12,95,1.2,5
,26,7,12,240,William Bradley-King,Team,Baylor,,,,,,,,,,,
,27,7,19,246,Shaka Toney,Team,Penn State,,,,97,,,,21,,,
,28,7,26,253,Marquiss Spencer,Broncos,Mississippi State,,,,145,,27,,21,,,
2020 - 2024 AVERAGES,,,,,,,,10.29,47.64,27.85,77.63,7.12,15.13,10.29,8.89,25.92,0.74,10.89
