NFL DRAFT 2020-2025 SAFETY HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,3 CONE,VERT,BROAD,100M,110HH,200M,300IH,400M,400R,SHOT,DISCUS,JAVELIN,HJ,LJ,TJ
,6,2,30,62,Bryan Cook,Kansas City Chiefs,Cincinnati,,,,,4.62,4.22,,35.2,,10.64,13.8,21.76,40.63,,42.83,,,,,,
,7,3,15,79,JT Woods,Los Angeles Chargers,Baylor,73,208,,,4.43,4.33,,34.6,,10.77,,22,,,41.36,,,,,,
,8,3,32,96,Nick Cross,Indianappolis Colts,Maryland,,,,,,,,,,,,,,,,,,,5.67,,
,9,3,33,97,Kerby Joseph,Detroit Lions,Illinois,,,,,,,,,,11.22,,,,58.02,44.56,,,,,23.58,44.83
,10,4,8,113,Percy Butler,Washington Commanders,Louisiana-Lafayette,,,,,,4.12,,30.4,,11.49,,23.57,,,43.89,,,,,20.42,38.25
,11,4,9,114,Dane Belton,New York Giants,Iowa,,,,,,,,,,10.65,14.96,22.84,45.04,,42.75,,,,,20.08,
,12,5,9,152,Delarin Turner-Yell,Denver Broncos,Oklahoma,,,,,,,,,,10.74,,21.84,,,42.64,,,,,20.92,
,13,5,23,166,Tycen Anderson,Cincinnati Bengals,Toledo,74,183,,,4.63,4.27,,31.9,,11.3,,22.8,45.31,,43.97,,,,6.5,23.42,
,14,6,25,204,Theo Jackson,Tennessee Titans,Tennessee,,,,,,,,,,,,,,,,,,,,,
,15,6,32,211,Quentin Lake,Los Angeles Rams,UCLA,,,,,,4.19,,34.9,,11.93,,24.04,,53.5,,,,,,,
,16,7,7,228,Tariq Carpenter,Green Bay Packers,Georgia Tech,,,,,4.69,4.1,,42,,13.27,,,,,45.98,,,,5.67,19.58,39.58
,17,7,32,253,Russ Yeast,Los Angeles Rams,Kansas State,,,,,,,,,,,,,43.72,1:0.86,,,,,,22.75,44.58
,18,7,33,254,Elijah Hicks,Chicago Bears,California,,,,,,,,,,,,22.53,,,42.33,,,,,21,
,19,7,38,259,Nazeeh Johnson,Kansas City Chiefs,Marshall,,,,,,,,,,11.72,,23.77,,57.92,44.24,,,,5.5,21.33,43.67
2022 AVERAGE,,,,,,,,73.50,195.50,,,4.60,4.24,,35.57,,11.40,15.04,23.01,43.68,55.26,43.63,37.00,85.58,,5.90,21.13,42.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 - 2024 AVERAGES,,,,,,,,72.64,189.68,76.25,9.14,4.68,4.28,7.03,34.46,114.00,11.42,16.16,23.22,45.11,53.85,43.19,34.75,89.25,,5.70,20.48,40.62
