NFL DRAFT 2020-2025 QUARTERBACK SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,C,Att,Yds,C%,Avg,Y/G,C/G,TD,TD/G,Int,Lng,QBR,GP,Car,Yds,Avg,Y/G,Lng,100+,TD
,4,3,30,94,Matt Corral,Panthers,Mississippi,10,146,235,2495,0.621,17.1,249.5,14.6,29,2.9,7,86,125.3,10,42,124,3,12.4,15,0,3
,5,4,32,137,Bailey Zappe,Patriots,Western Kentucky,14,211,356,3770,0.593,17.9,269.3,15.1,37,2.6,9,81,119.7,14,116,633,5.5,45.2,51,1,15
,6,5,1,144,Sam Howell,Commanders,North Carolina,13,179,299,3240,0.599,18.1,249.2,13.8,36,2.8,8,91,125.6,13,175,1392,8,107.1,81,6,17
,7,7,20,241,Chris Oladokun,Steelers,South Dakota State,9,87,150,1390,0.58,16,154.4,9.7,15,1.7,3,,114,9,43,94,2.2,10.4,0,0,2
,8,7,26,247,Skylar Thompson,Dolphins,Kansas State,14,142,209,2128,0.679,15,152,10.1,25,1.8,3,67,134.7,14,168,1099,6.5,78.5,55,3,21
,9,7,41,262,Brock Purdy,49ers,Iowa State,14,237,364,4405,0.651,18.6,314.6,16.9,57,4.1,9,65,136,14,137,1017,7.4,72.6,41,3,10
2022 AVERAGE,,,,,,,,11.33333333,145.5555556,237.1111111,2371.444444,0.6101111111,15.42222222,198.2666667,12.47777778,26.55555556,2.188888889,5.888888889,69.625,114.9,11.33333333,107.6666667,706.4444444,5.588888889,56.63333333,44.77777778,2.111111111,10.55555556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,1,1,Trevor Lawrence,Jaguars,Clemson,12,176,255,3290,0.69,18.7,274.2,14.7,41,3.4,1,82,149.6,12,43,222,5.2,18.5,64,0,2
,2,1,2,2,Zach Wilson,Jets,Brigham Young,10,170,297,2986,0.572,17.6,298.6,17,24,2.4,8,66,107.4,10,119,752,6.3,75.2,44,4,8
,3,1,3,3,Trey Lance,49ers,North Dakota State,8,46,88,893,0.523,19.4,111.6,5.8,8,1,1,94,113.5,8,55,394,7.2,49.3,50,1,5
,4,1,11,11,Justin Fields,Bears,Ohio State,7,81,127,1417,0.638,17.5,202.4,11.6,18,2.6,2,,134.7,7,109,920,8.4,131.4,,4,13
,5,1,15,15,Mac Jones,Patriots,Alabama,,,,,,,,,,,,,,,,,,,,,
,6,2,32,64,Kyle Trask,Buccaneers,Florida,5,69,131,795,0.527,11.5,159,13.8,10,2,5,84,80.8,5,42,143,3.4,28.6,20,0,0
,7,3,2,66,Kellen Mond,Vikings,Texas A&M,10,99,178,1803,0.556,18.2,180.3,9.9,19,1.9,3,,119.2,10,135,757,5.6,75.7,,2,17
,8,3,3,67,Davis Mills,Texans,Stanford,13,188,271,2732,0.694,14.5,210.2,14.5,34,2.6,1,,139.9,13,62,332,5.4,25.5,,0,8
,9,4,28,133,Ian Book,Saints,Notre Dame,13,244,346,3049,0.705,12.5,234.5,18.8,30,2.3,5,,120.4,13,129,779,6,59.9,,1,12
,10,6,34,218,Sam Ehlinger,Colts,Texas,5,57,94,850,0.606,14.9,170,11.4,7,1.4,3,64,101.8,5,57,194,3.4,38.8,32,0,3
