NFL DRAFT 2020-2025 DEFENSIVE END HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,3 CONE,VERT,BROAD,100M,110HH,200M,300IH,400M,400R,SHOT,DISCUS,JAVELIN,HJ,LJ,TJ
2022,1,1,1,1,Travon Walker,Jaguars,Georgia,,,,,4.97,4.58,,27.8,,,,,,,,50.58,140.92,,,,
,2,1,2,2,Aidan Hutchinson,Lions,Michigan,79,249,,,5.09,4.51,,31.1,,,,,,,,,,,,,
,3,1,5,5,Kayvon Thibodeaux,Giants,Oregon,76,239,,,4.67,4.21,,32,,11.69,,,,,43.57,,,,,,
,4,1,26,26,Jermaine Johnson,Jets,Florida State,,,,,4.85,4.44,,33.5,,,,,,,,40.83,92.25,,5.67,,
,5,1,30,30,George Karlaftis,Chiefs,Purdue,76,260,,,4.98,4.52,,29,,11.73,,,,,44.41,60,151.75,,,,
,6,2,1,33,Logan Hall,Buccaneers,Houston,,,,,,,,,,,15.88,,43.94,,,,156,,,19.08,37.75
,7,2,6,38,Arnold Ebiketie,Falcons,Penn State,,,,,,,,,,11.94,,24.44,,56.24,45.79,,,,6.17,18,
,8,2,8,40,Boye Mafe,Seahawks,Minnesota,75,218,,,4.95,4.75,,32.2,,11.48,15.96,23.31,50.39,,43.95,49.5,87.67,,6.58,17,42.83
,9,2,13,45,David Ojabo,Ravens,Michigan,,,,,4.75,4.4,,33.3,,10.93,,23.33,,,42.52,,115.75,,,,
,10,2,14,46,Josh Paschal,Lions,Kentucky,75,253,,,4.75,4.3,,39,,11.46,,,,,45.04,47.75,122.75,78.83,,,
,11,2,24,56,Sam Williams,Cowboys,Mississippi,,,,,,,,,,,,,,,,,,,,,
,12,2,29,61,Drake Jackson,49ers,USC,,,,,,4.62,,30.7,,,,,,,,,,,,,
,13,2,33,64,Nik Bonitto,Broncos,Oklahoma,75,206,,,4.71,4.26,,31.3,,,,,,,,,,,,,
,14,3,18,82,DeAngelo Malone,Falcons,Western Kentucky,,,,,,,,,,,,,,,,,,,,,
,15,3,23,87,Cameron Thomas,Cardinals,San Diego State,,,,,,,,,,,,,,,,,,,,,
,16,3,31,95,Zachary Carter,Bengals,Florida,,,,,5.23,5.16,,27.9,,,,,,,,37.83,,,,,
,17,3,36,100,Myjai Sanders,Cardinals,Cincinnati,76,215,,,5,4.51,,32.1,,,,,,,,,,,,,
,18,4,11,116,Eyioma Uwazurike,Broncos,Iowa State,,,,,,,,,,,,,,,,,,,,,
,19,4,12,117,Micheal Clemons,Jets,Texas A&M,,,,,,,,,,,,,,54.34,,40.08,,,,,
,20,5,7,150,Thomas Booker,Texans,Stanford,,,,,,,,,,12.43,,,,,,48.5,134.5,,,,
,21,5,15,158,Tyreke Smith,Seahawks,Ohio State,,,,,5,4.65,,31.6,,,,,,,,43.17,94.33,,,,
,22,5,22,165,Esezi Otomewo,Vikings,Minnesota,,,,,,,,,,,,,,,,40.42,125.58,,5.83,,
,23,5,31,174,Dominique Robinson,Bears,Miami (OH),,,,,,,,,,,,,,,,,,,5.83,19.92,
,24,5,36,179,Kingsley Enagbare,Packers,South Carolina,,,,,,4.7,,,,,,,,,,37.67,80.92,,,,
,25,6,21,200,Sam Roberts,Patriots,Northwest Missouri State,,,,,,,,,,,,,,,,,,,,,
,26,6,27,206,Matt Henningsen,Broncos,Wisconsin,,,,,,,,,,,,,,,,49.33,101.58,,,,
,27,7,2,223,Isaiah Thomas,Browns,Oklahoma,,,,,,,,,,,,,,,,,,,,,
,28,7,14,235,Daniel Hardy,Rams,Montana State,,,,,,,,,,12.47,,,,,48.09,,,,5.33,15,
,29,7,27,248,Andre Anthony,Buccaneers,Louisiana State,75,214,,,4.92,4.41,,27.9,,11.51,,23.8,,,,29.42,,,,,
,30,7,31,252,Jeffrey Gunter,Bengals,Costal Carolina,75,183,,,5.1,4.81,,33.6,,,,,,,,,,,,,
2022 AVERAGE,,,,,,,,75.78,226.33,,,4.93,4.55,,31.53,,11.74,15.92,23.72,47.17,55.29,44.77,44.24,117.00,78.83,5.90,17.80,40.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HT,WT,WING,HAND,40,SHUT,3 CONE,VERT,BROAD,100M,110HH,200M,300IH,400M,400R,SHOT,DISCUS,JAVELIN,HJ,LJ,TJ
2022 - 2024 AVERAGES,,,,,,,,6036,238,77.88,9.50,4.92,4.53,7.98,30.50,9'4,11.80,16.55,23.98,45.54,54.46,45.01,"44'4""","122'10""","111""0""","5'11""","18'2""","40'7"""
