NFL DRAFT 2020-2024 DEFENSIVE TACKLE SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,SOLO,ASST,TKLS,T/G,TFL,GP,SACKS,YDL,S/G,HURS
,9,4,21,126,Neil Farrell,Raiders,Louisiana State,12,75,26,101,8.4,28,12,13,72,1.1,14
,10,5,4,147,DJ Davidson,Giants,Arizona State,13,25,42,67,5.2,19.5,13,5.5,5,0.4,8
,11,5,7,150,Thomas Booker,Texans,Stanford,,,,,,,,,,,
,12,5,16,159,Eric Johnson,Colts,Missouri State,14,,,,,29,14,17,,1.2,
,13,5,17,160,Otito Ogbonnia,Chargers,UCLA,12,43,18,61,5.1,10,12,2,9,0.2,9
,14,5,32,175,Matthew Butler,Raiders,Tennessee,13,45,51,96,7.4,44,13,26,114,2,36
,15,5,35,178,John Ridgeway,Cowboys,Arkansas,,,,,,,,,,,
,16,6,15,194,Jordan Jackson,Saints,Air Force,,,,,,,,,,,
,17,6,21,200,Sam Roberts,Patriots,Northwest Missouri State,,,,,,,,,,,
,18,6,27,206,Matt Henningsen,Broncos,Wisconsin,,,,,,,,,,,
,19,6,37,216,Curtis Brooks,Colts,Cincinnati,12,,,82,6.8,15.5,12,9,,0.75,
,20,6,41,220,Kalia Davis,49ers,Central Florida,13,,,107,8.2,,12,9,,0.69,
,21,7,13,234,Jonathan Ford,Packers,Miami (FL),,,,,,,,,,,
2020 - 2024 AVERAGES,,,,,,,,11.75,39.11,30.33,74.00,6.51,16.73,11.67,9.25,34.67,0.79,16.00
,,,,,,,,,,,,,,,,,,
2021,1,2,6,38,Christian Barmore,Patriots,Alabama,,,,,,,,,,,
,2,2,9,41,Levi Onwuzurike,Lions,Washington,15,,,53,3.5,8.5,15,,,,
,3,3,8,72,Alim McNeill,Lions,North Carolina State,13,51,15,60,4.6,18,13,5,31,0.4, 
,4,3,9,73,Milton Williams,Eagles,Louisiana Tech,8,36,16,52,6.5,7,8,2,7,0.3, 
,5,3,11,75,Osa Odighizuwa,Cowboys,UCLA,,,,,,,,,,,
,6,4,1,106,Jay Tufele,Jaguars,USC,14,,,57,4.1, ,14,10.5,30,0.8, 
,7,4,12,117,Bobby Brown,Rams,Texas A&M,7,8,32,40,5.7,6,7,3,16,0.4,2
,8,4,17,122,Tyler Shelvin,Bengals,Louisiana State,,,,,,,,,,,
,9,4,27,132,Tommy Togiai,Browns,Ohio State,15,,,93,6.2,,,11,,0.7,
,10,5,4,148,Ta'Quon Graham,Falcons,Texas,12,21,27,48,4,4,12,10,50,0.8,4
,11,5,14,158,Daviyon Nixon,Panthers,Iowa,8,,,45,5.6,8,8,6,,0.8,
,12,5,29,173,Tedarrell Slaton,Packers,Florida,,,,,,,,,,,
,13,6,5,189,Marlon Tuipulotu,Eagles,USC,12,39,23,62,5.2,14,12,6,25,0.5, 
,14,6,8,192,Quinton Bohanna,Cowboys,Kentucky,13,52,44,91,7,24,13,19,5,1.5,15
,15,6,11,195,Roy Lopez,Texans,Arizona,11,28,25,53,4.8,17,11,6,1,0.5,21
,16,6,15,199,Jaylen Twyman,Vikings,Pittsburgh,13,,,91,7,,,8,,0.6,
,17,6,23,207,Jonathan Marshall,Jets,Arkansas,13,,,71,5.5,,13,10,,0.8,
,18,7,4,232,Phil Hoskins,Panthers,Kentucky,12,,,63,5.3,,,8,,0.7,
,19,7,23,250,Khyiris Tonga,Bears,Brigham Young,,,,,,,,,,,
2020 - 2024 AVERAGES,,,,,,,,11.86,33.57,26.00,62.79,5.35,11.83,11.45,8.04,20.63,0.67,10.50
,,,,,,,,,,,,,,,,,,
2020,1,1,7,7,Derrick Brown,Panthers,Auburn,12,76,20,96.0,8,40,12,12,77,1,25
,2,1,14,14,Javon Kinlaw,49ers,South Carolina,8,22,18,40.0,5, ,,,,,
,3,2,8,40,Ross Blacklock,Texans,Texas Christian,10,42,18,56.0,5.6,10,10,3,4,0.3,11
,4,2,24,56,Raekwon Davis,Dolphins,Alabama,14,29,26,55.0,3.9,4,14,8.5,52,0.6,2
,5,3,7,71,Justin Madubuike,Ravens,Texas A&M,12,46,24,70.0,5.8,28,12,12,31,1.3,18
,6,3,9,73,DaVon Hamilton,Jaguars,Ohio State,12,,,67.0,5.6,23,,,,,
,7,3,18,82,Neville Gallimore,Cowboys,Oklahoma,,,,,,,,,,,
,8,3,24,88,Jordan Elliott,Browns,Missouri,8,30,,30.0,3.8,10,8,4,20,0.5, 
,9,3,31,95,McTelvin Agim,Broncos,Arkansas,8,28,24,52.0,6.5,12,8,2,14,0.3, 
,10,4,8,114,Leki Fotu,Cardinals,Utah,14,32,50,82.0,5.9,19,14,9.5,51,0.7,19
,11,4,25,131,Rashard Lawrence,Cardinals,Louisiana State,,,,,,,,,,,
,12,5,24,170,Broderick Washington,Ravens,Texas Tech,,,,,,,,,,,
,13,5,28,174,Larrell Murchison,Titans,North Carolina State,13,31,52,83.0,6.4, ,13,2,1,0.2, 
,14,6,5,184,Bravvion Roy,Panthers,Baylor,14,98,,98.0,7,13,14,7,19,0.5,19
,15,6,14,193,Robert Windsor,Colts,Penn State,13,,,56.0,5.5,13,,,,,
,16,6,15,194,Khalil Davis,Buccaneers,Nebraska,14,60,3,62.0,4.4,26,14,4,8,0.3, 
,17,6,18,197,John Penisini,Lions,Utah,10,29,63,92.0,9.2,4,10,6,25,0.6,4
,18,7,18,232,Carlos Davis,Steelers,Nebraska,14,57,6,63.0,4.5,16,14,3.5,11,0.3,
2020 - 2024 AVERAGES,,,,,,,,11.73,44.62,27.64,66.80,5.81,16.77,11.92,6.13,26.08,0.55,14.00
,,,,,,,,,,,,,,,,,,
2020 - 2024 AVERAGES,,,,,,,,11.42,39.43,25.40,65.56,5.85,16.35,11.40,7.94,31.85,0.69,13.54
