player_id,class_field,college_level_projection,uc_score,last,first,effective_school_name,college_enrolled,school_city,state,county,position_played,position_projected,height,weight,wingspan,forty,shuttle,vertical,track60m,track100m,track200m,broad,trackLJ,highJump,trackSP,discus,updated,head_coach,player_head_shot,camp_event_videos,hudl_video_link,college_offers,commit,max_speed_video,query_name,wiki_year,wiki_round,wiki_pick,wiki_team,wiki_pos,wiki_college
85010245,2021,Power 5,,Milum,Wyatt,Spring Valley High School,,Huntington,WY,Cabell,OT,OT,79.0,265,,,,,,,,,,,,,2020-03-09T12:22:17Z,Brad Dingess,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Wyatt_Milum.jpg,[],http://www.hudl.com/profile/11425468/Wyatt-Milum,"Alabama, Cincinnati, Florida State, Georgia, Illinois, Kentucky, Louisville, Marshall, Michigan, Michigan State, Nc State, Notre Dame, Ohio State, Oregon, Penn State, Tennessee, Virginia, West Virginia",West Virginia,,Wyatt Milum,2025,3,89,Jacksonville Jaguars,G,West Virginia
85006758,2020,Power 5,0.6224669603524229,Rogers,Caleb,Lake Ridge High School,,Mansfield,TX,Tarrant,OT,OT,76.0,268,79.0,5.35,4.84,25.6,,,,94.0,,,,,2019-05-13T14:22:23Z,Kirk Thor,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Caleb_Rogers.jpg,[],http://www.hudl.com/profile/8180127/Caleb-Rogers,"Arkansas State, Georgia Tech, Louisiana Monroe, New Mexico, Texas Tech, William & Mary",Texas Tech,,Caleb Rogers,2025,3*,98,Las Vegas Raiders,G,Texas Tech
85008784,2020,Group of 5,,Travis,Jalen,De La Salle High School,Princeton,Minneapolis,MN,Hennepin,OT,OT,78.0,240,,,,,,,,,,,,,2023-12-06T15:03:03.992Z,Cj Hallman,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Jalen_Travis.jpg,[],http://www.hudl.com/profile/6075824/Jalen-Travis,"Indiana State, Iowa State, Massachusetts, Minnesota, Northern Iowa, Princeton, Yale",Princeton,"{'text': '', 'link': ''}",Jalen Travis,2025,4,127,Indianapolis Colts,T,Iowa State
85009004,2020,FCS,,Vinson,Carson,Panther Creek High School,,Cary,NC,Wake,OG,OG,77.0,283,,,,,,,,,,,,,2019-05-29T20:15:17Z,Sean Crocker,,[],https://www.hudl.com/profile/8087532/Carson-Vinson,Alabama A&M,Alabama A&M,,Carson Vinson,2025,5,141,Baltimore Ravens,T,Alabama A&M
85000512,2020,Elite Power 5,0.9162995594713657,Rivers,Jalen,Oakleaf High School,,Orange Park,FL,Clay,OT,OT,78.0,332,85.0,5.55,5.09,31.2,,,,,,,,,2021-06-09T17:26:08Z,Frank Garis,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Jalen_Rivers.jpg,"[{'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Jalen_Rivers.mp4', 'text': 'UA Orlando 2/26/17'}, {'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Jalen_RiversORL.mp4', 'text': 'UA Orlando 3/25/18'}, {'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Jalen_RiversF50.mp4', 'text': 'F50 1/3/2019'}]",http://www.hudl.com/profile/2788975/jalen-rivers,"Alabama, Auburn, Clemson, Florida, Florida State, Georgia, Georgia Tech, Louisville, Memphis, Miami (Fl), Michigan, Mississippi, Mississippi State, Penn State, South Alabama, South Carolina, South Florida, Temple, Tennessee, Texas",Miami (FL),,Jalen Rivers,2025,5,153,Cincinnati Bengals,G,Miami (FL)
85022156,2021,Power 5,,Mbow,Marcus,Wauwatosa East High School,,Wauwatosa,WI,Milwaukee,OT,OT,78.0,285,,,,,,,,,,,,,2020-10-20T15:13:35Z,Matt Kender,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Marcus_Mbow.jpg,[],http://www.hudl.com/profile/10229335/Marcus-Mbow,"Arizona, Arizona State, Arkansas, Bowling Green, Buffalo, Central Michigan, Eastern Michigan, Indiana, Iowa, Iowa State, Kansas, Michigan State, Nebraska, Oregon State, Purdue, Toledo, Virginia, West Virginia, Western Kentucky, Western Michigan, Wyoming",Purdue,,Marcus Mbow,2025,5,154,New York Giants,G,Purdue
85021162,2021,FCS,0.214236111111111,Slater,Jackson,Newport High School,,Newport,WA,Pend Oreille,OG,OG,73.0,277,,6.045,5.401,18.7,,,,84.0,,,,,2020-10-14T14:51:04Z,David Pamonte,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Jackson_Slater.jpg,[],https://www.hudl.com/profile/3503801/Jackson-Slater,"Columbia, Cornell, Davidson, Eastern Washington, Georgetown, Sacramento State, San Diego",Sacramento State,,Jackson Slater,2025,5,167,Tennessee Titans,G,Sacramento State
85011188,2021,Power 5,,Kendall,Andrew,Noble & Greenough School,,Dedham,MA,Norfolk,OG,OG,75.0,255,,,,,,,,,,,,,2020-10-06T19:46:50Z,Panos Voulgaris,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Drew_Kendall.jpg,[],http://www.hudl.com/profile/10048040/Drew-Kendall,"Dartmouth, Duke, Maryland, Massachusetts, Michigan, Nc State, Nebraska, Penn State, Stanford, Syracuse, Vanderbilt, Virginia, Virginia Tech, West Virginia",Boston College,,Drew Kendall,2025,5,168,Philadelphia Eagles,C,Boston College
84003780,2020,Elite Power 5,,Hinton,Myles,Greater Atlanta Christian School,Michigan,Norcross,GA,Gwinnett,OT,OT,78.0,323,,,,,,,,,,,,,2022-12-18T23:00:52Z,Tim Hardy,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Myles_Hinton.jpg,[],https://www.hudl.com/profile/7505158/myles-hinton,"Alabama, Florida, Georgia, Maryland, Miami (Fl), Michigan, Michigan State, Mississippi, Ohio State, Oklahoma, Southern California, Stanford, Tennessee",Stanford,,Myles Hinton,2025,6,191,Philadelphia Eagles,T,Michigan
85012894,2020,Power 5,,Newman,Luke,Brother Rice High School,Holy Cross,Bloomfield Hills,MI,Oakland,OT,OT,76.0,260,,,,,,,,,,,,,2024-04-19T15:07:25.985Z,Adam Korzeniewski,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Luke_Newman.jpg,[],https://www.hudl.com/profile/8091282/Luke-Newman,"Holy Cross, Navy",Michigan State,"{'text': '', 'link': ''}",Luke Newman,2025,6,195,Chicago Bears,G,Michigan State
