NFL DRAFT 2020-2024 SAFETY SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,SOLO,ASST,TKLS,T/G,TFL,INT,PD
,4,2,13,45,Antoine Winfield,Tampa Bay Buccaneers,Minnesota,,,,87.0,,,2,
,5,2,32,64,Jeremy Chinn,Carolina Panthers,Southern Illinois,10,35,7,42.0,4.2,0,2,2
,6,3,4,68,Ashtyn Davis,New York Jets,California,10,26,31,57.0,5.7,3,2,3
,7,3,6,70,Brandon Jones,Miami Dolphins,Texas,15,74,33,107.0,7.1,1,10,14
,8,3,21,85,Julian Blackmon,Indianappolis Colts,Utah,,,,,,,,
,9,4,21,127,K'Von Wallace,Philadelphia Eagles,Clemson,,,,27.0,,,1,
,10,4,28,134,Jaylinn Hawkins,Atlanta Falcons,California,11,39,21,60.0,5.5,2,3,5
,11,4,32,138,L'Jarius Sneed,Kansas City Chiefs,Louisiana Tech,10,,,,,,7,
,12,5,6,152,Kenny Robinson,Carolina Panthers,WVU,,,,,,,3,
,13,5,11,157,Daniel Thomas,Jacksonville Jaguars,Auburn,,,,87.0,,5,7,
,14,6,7,186,Alohi Gilman,Los Angeles Chargers,Notre Dame,,,,,,,,
,15,6,19,198,Antoine Brooks,Pittsburg Steelers,Maryland,,,,,,,,
,16,6,20,199,Jordan Fuller,Los Angeles Rams,Ohio State,12,32,12,44.0,3.7,0,6,3
,17,6,26,205,Josh Metellus,Minnesota Vikings,Michigan,13,,,50.0,3.8,,,
,18,7,2,216,Kamren Curl,Washington Commanders,Arkansas,10,33,23,56.0,5.6,0,2,2
,19,7,5,219,Geno Stone,Baltimore Ravens,Iowa,7,30,31,61.0,8.7,5,8,0
2020 AVERAGE,,,,,,,,11.18,39.56,22.22,62.08,5.45,2.50,4.57,4.89
,,,,,,,,,,,,,,,
2020 - 2024 AVERAGES,,,,,,,,11.44,40.09,19.18,60.93,5.11,3.62,3.70,4.47
